Jurisdiction,Year,Measure,Unit,Quantity
SA,2014-15,Energy intensity,GJ/$ million,3208.346
SA,2014-15,Energy productivity,$ million/PJ,311.687
SA,2014-15,GDP,$ million,111249
SA,2014-15,Population,Number,1700668
SA,2015-16,Energy consumption,PJ,316.387
SA,2015-16,Energy consumption per capita,GJ/person,184.715
SA,2015-16,Energy intensity,GJ/$ million,2828.297
SA,2015-16,Energy productivity,$ million/PJ,353.57
SA,2015-16,GDP,$ million,111865
SA,2015-16,Population,Number,1712843
SA,2016-17,Energy consumption,PJ,287.382
SA,2016-17,Energy consumption per capita,GJ/person,166.244
SA,2016-17,Energy intensity,GJ/$ million,2520.56
SA,2016-17,Energy productivity,$ million/PJ,396.737
SA,2016-17,GDP,$ million,114015
SA,2016-17,Population,Number,1728673
SA,2017-18,Energy consumption,PJ,334.653
SA,2017-18,Energy consumption per capita,GJ/person,191.653
SA,2017-18,Energy intensity,GJ/$ million,2870.833
SA,2017-18,Energy productivity,$ million/PJ,348.331
SA,2017-18,GDP,$ million,116570
SA,2017-18,Population,Number,1746137
SA,2018-19,Energy consumption,PJ,324.507
SA,2018-19,Energy consumption per capita,GJ/person,183.608
SA,2018-19,Energy intensity,GJ/$ million,2751.809
SA,2018-19,Energy productivity,$ million/PJ,363.397
SA,2018-19,GDP,$ million,117925
SA,2018-19,Population,Number,1767395
SA,2019-20,Energy consumption,PJ,317.704
SA,2019-20,Energy consumption per capita,GJ/person,177.453
SA,2019-20,Energy intensity,GJ/$ million,2721.253
SA,2019-20,Energy productivity,$ million/PJ,367.478
SA,2019-20,GDP,$ million,116749
SA,2019-20,Population,Number,1790355
SA,2020-21,Energy consumption,PJ,308.734
SA,2020-21,Energy consumption per capita,GJ/person,171.271
SA,2020-21,Energy intensity,GJ/$ million,2521.203
SA,2020-21,Energy productivity,$ million/PJ,396.636
SA,2020-21,GDP,$ million,122455
SA,2020-21,Population,Number,1802601
SA,2021-22,Energy consumption,PJ,301.274
SA,2021-22,Energy consumption per capita,GJ/person,165.425
SA,2021-22,Energy intensity,GJ/$ million,2330.544
SA,2021-22,Energy productivity,$ million/PJ,429.084
SA,2021-22,GDP,$ million,129272
SA,2021-22,Population,Number,1821215
